t,pos_cmd,pos_fbk,vel_fbk,samples_consumed
0,0,0,0,1
18,1,1,59,19
31,1,2,102,32
40,3,3,131,41
47,3,4,154,48
53,5,5,174,54
58,5,6,190,59
63,6,7,206,64
68,8,8,223,69
73,8,9,239,74
77,9,10,252,78
88,13,13,288,89
91,14,14,298,92
95,15,15,311,96
98,16,16,321,99
101,17,17,331,102
104,18,18,341,105
107,18,19,351,108
110,19,20,360,111
112,21,21,367,113
115,21,22,377,116
118,23,23,387,119
120,23,24,393,121
123,24,25,403,124
125,26,26,410,126
128,26,27,419,129
130,28,28,426,131
132,29,29,433,133
135,30,30,442,136
137,30,31,449,138
139,32,32,456,140
141,33,33,462,142
143,34,34,469,144
146,35,35,478,147
148,36,36,485,149
150,37,37,492,151
152,37,38,498,153
154,38,39,505,155
156,40,40,511,157
158,41,41,518,159
160,42,42,524,161
162,43,43,531,163
163,44,44,534,164
165,45,45,541,166
167,46,46,547,168
169,46,47,554,170
171,47,48,560,172
173,49,49,567,174
174,50,50,570,175
176,51,51,577,177
178,52,52,583,179
180,53,53,590,181
181,53,54,593,182
183,54,55,600,184
185,56,56,606,186
186,56,57,610,187
188,58,58,616,189
189,59,59,619,190
191,59,60,626,192
193,61,61,632,194
194,62,62,636,195
196,62,63,642,197
197,64,64,646,198
199,65,65,652,200
200,66,66,655,201
202,67,67,662,203
203,67,68,665,204
205,69,69,672,206
206,69,70,675,207
208,71,71,682,209
209,71,72,685,210
211,73,73,691,212
212,74,74,695,213
214,74,75,701,215
215,76,76,705,216
217,76,77,711,218
218,78,78,714,219
219,78,79,718,220
221,80,80,724,222
222,81,81,727,223
224,82,82,734,225
225,82,83,737,226
226,84,84,741,227
228,84,85,747,229
229,86,86,750,230
230,86,87,754,231
232,88,88,760,233
233,88,89,764,234
234,90,90,767,235
236,91,91,773,237
237,91,92,777,238
238,93,93,780,239
239,94,94,783,240
241,95,95,790,242
242,95,96,793,243
243,97,97,796,244
244,98,98,800,245
246,99,99,806,247
247,99,100,809,248
248,101,101,813,249
249,102,102,816,250
251,103,103,823,252
252,103,104,826,253
253,105,105,829,254
254,106,106,832,255
255,107,107,836,256
257,108,108,842,258
258,108,109,845,259
259,110,110,849,260
260,111,111,852,261
261,112,112,855,262
263,112,113,862,264
264,114,114,865,265
265,115,115,868,266
266,116,116,872,267
267,117,117,875,268
268,118,118,878,269
269,118,119,882,270
271,120,120,888,272
272,121,121,891,273
273,122,122,895,274
274,123,123,898,275
275,124,124,901,276
276,125,125,904,277
277,125,126,908,278
278,127,127,911,279
279,128,128,914,280
281,129,129,921,282
282,130,130,924,283
283,131,131,927,284
284,132,132,931,285
285,132,133,934,286
286,134,134,937,287
287,134,135,940,288
288,136,136,944,289
289,137,137,947,290
290,138,138,950,291
291,139,139,954,292
292,139,140,957,293
293,141,141,960,294
294,141,142,963,295
295,143,143,967,296
296,143,144,970,297
297,145,145,973,298
298,146,146,977,299
300,147,147,983,301
301,147,148,986,302
302,149,149,990,303
303,150,150,993,304
304,151,151,996,305
305,152,152,999,306
306,152,153,1003,307
307,154,154,1006,308
308,154,155,1009,309
309,156,156,1013,310
310,156,157,1016,311
311,158,158,1019,312
312,159,159,1022,313
313,159,161,1026,314
314,162,162,1029,315
315,163,163,1032,316
316,163,164,1036,317
317,165,165,1039,318
318,165,166,1042,319
319,167,167,1045,320
320,168,168,1049,321
321,168,169,1052,322
322,170,170,1055,323
323,170,171,1058,324
324,172,172,1062,325
325,172,173,1065,326
326,174,174,1068,327
327,175,175,1072,328
328,175,176,1075,329
329,177,177,1078,330
330,177,178,1081,331
331,180,180,1085,332
332,180,181,1088,333
333,182,182,1091,334
334,183,183,1095,335
335,183,184,1098,336
336,185,185,1101,337
337,185,186,1104,338
338,187,187,1108,339
339,188,188,1111,340
340,189,189,1114,341
341,191,191,1117,342
342,191,192,1121,343
343,193,193,1124,344
344,193,194,1127,345
345,195,195,1131,346
346,196,196,1134,347
347,197,197,1137,348
348,198,198,1140,349
349,198,200,1144,350
350,201,201,1147,351
351,201,202,1150,352
352,203,203,1154,353
353,203,204,1157,354
354,204,205,1160,355
355,206,206,1163,356
356,206,208,1167,357
357,209,209,1170,358
358,210,210,1173,359
359,210,211,1176,360
360,212,212,1180,361
361,214,214,1183,362
362,215,215,1186,363
363,216,216,1190,364
364,217,217,1193,365
365,218,218,1196,366
366,219,219,1199,367
367,219,221,1203,368
368,222,222,1206,369
369,223,223,1209,370
370,223,224,1212,371
371,226,226,1216,372
372,226,227,1219,373
373,228,228,1222,374
374,229,229,1226,375
375,229,230,1229,376
376,232,232,1232,377
377,233,233,1235,378
378,234,234,1239,379
379,235,235,1242,380
380,235,237,1245,381
381,238,238,1249,382
382,238,239,1252,383
383,240,240,1255,384
384,242,242,1258,385
385,243,243,1262,386
386,244,244,1265,387
387,244,245,1268,388
388,247,247,1271,389
389,248,248,1275,390
390,249,249,1278,391
391,250,250,1281,392
392,250,252,1285,393
