host_time_s,frame,t,dt,ia_mA,ib_mA,ic_mA,id_mA,iq_mA,vd_mV,vq_mV,theta_mrad,adc_a,adc_b,adc_c,flags,crc,pad
0.000000074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.000583013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.001131267,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.001676892,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.002221757,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.002764659,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.003307432,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.003850261,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.004392885,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.004935658,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.009172044,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.009744928,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.012355589,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.012920936,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.013470634,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.014019240,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.014568457,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.015115860,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.015662262,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.016308219,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.016877177,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.017431005,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.017976574,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.018531513,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.019086490,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.019638040,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.020183294,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.020726382,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.021269580,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.021819798,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.022362311,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.022905121,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.023448449,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.023989574,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.024532661,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.025349839,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.025894945,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.026438995,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.026982639,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.027653706,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.028284738,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.028852140,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.029413357,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.029970203,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.030518328,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.031069656,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.031617688,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.032161442,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.032702178,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.033243229,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.033783890,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.034325033,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.034865639,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.035406412,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.035946981,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.036487736,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.037035286,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.037581299,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.038122294,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.038663326,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.039203951,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.039744576,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.040285423,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.040836177,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.041377894,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.041918537,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.042459458,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.043000008,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.043540800,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.044081369,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.044622160,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.045162933,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.045703743,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.046244497,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
