sample,t,pos,vel
0,0,0,0
1,0.001,0,41
2,0.002,0,82
3,0.003,0,123
4,0.004,0,164
5,0.005,1,205
6,0.006,1,246
7,0.007,1,287
8,0.008,1,328
9,0.009,2,369
10,0.01,2,410
11,0.011,2,410
12,0.012,3,410
13,0.013,3,410
14,0.014,4,410
15,0.015,4,410
16,0.016,5,410
17,0.017,5,410
18,0.018,5,410
19,0.019,6,410
20,0.02,6,410
21,0.021,7,410
22,0.022,7,410
23,0.023,7,410
24,0.024,8,410
25,0.025,8,410
26,0.026,9,410
27,0.027,9,410
28,0.028,9,410
29,0.029,10,410
30,0.03,10,410
31,0.031,11,410
32,0.032,11,410
33,0.033,11,410
34,0.034,12,410
35,0.035,12,410
36,0.036,13,410
37,0.037,13,410
38,0.038,14,410
39,0.039,14,410
40,0.04,14,410
41,0.041,15,410
42,0.042,15,410
43,0.043,16,410
44,0.044,16,410
45,0.045,16,410
46,0.046,17,410
47,0.047,17,410
48,0.048,18,410
49,0.049,18,410
50,0.05,18,410
51,0.051,19,410
52,0.052,19,410
53,0.053,20,410
54,0.054,20,410
55,0.055,20,410
56,0.056,21,410
57,0.057,21,410
58,0.058,22,410
59,0.059,22,410
60,0.06,23,410
61,0.061,23,410
62,0.062,23,410
63,0.063,24,410
64,0.064,24,410
65,0.065,25,410
66,0.066,25,410
67,0.067,25,410
68,0.068,26,410
69,0.069,26,410
70,0.07,27,410
71,0.071,27,410
72,0.072,27,410
73,0.073,28,410
74,0.074,28,410
75,0.075,29,410
76,0.076,29,410
77,0.077,30,410
78,0.078,30,410
79,0.079,30,410
80,0.08,31,410
81,0.081,31,410
82,0.082,32,410
83,0.083,32,410
84,0.084,32,410
85,0.085,33,410
86,0.086,33,410
87,0.087,34,410
88,0.088,34,410
89,0.089,34,410
90,0.09,35,410
91,0.091,35,410
92,0.092,36,410
93,0.093,36,410
94,0.094,36,410
95,0.095,37,410
96,0.096,37,410
97,0.097,38,410
98,0.098,38,410
99,0.099,39,410
100,0.1,39,410
101,0.101,39,410
102,0.102,40,410
103,0.103,40,410
104,0.104,41,410
105,0.105,41,410
106,0.106,41,410
107,0.107,42,410
108,0.108,42,410
109,0.109,43,410
110,0.11,43,410
111,0.111,43,410
112,0.112,44,410
113,0.113,44,410
114,0.114,45,410
115,0.115,45,410
116,0.116,46,410
117,0.117,46,410
118,0.118,46,410
119,0.119,47,410
120,0.12,47,410
121,0.121,48,410
122,0.122,48,410
123,0.123,48,410
124,0.124,49,410
125,0.125,49,410
126,0.126,50,410
127,0.127,50,410
128,0.128,50,410
129,0.129,51,410
130,0.13,51,410
131,0.131,52,410
132,0.132,52,410
133,0.133,52,410
134,0.134,53,410
135,0.135,53,410
136,0.136,54,410
137,0.137,54,410
138,0.138,55,410
139,0.139,55,410
140,0.14,55,410
141,0.141,56,410
142,0.142,56,410
143,0.143,57,410
144,0.144,57,410
145,0.145,57,410
146,0.146,58,410
147,0.147,58,410
148,0.148,59,410
149,0.149,59,410
150,0.15,59,410
151,0.151,60,410
152,0.152,60,410
153,0.153,61,410
154,0.154,61,410
155,0.155,61,410
156,0.156,62,410
157,0.157,62,410
158,0.158,63,410
159,0.159,63,410
160,0.16,64,410
161,0.161,64,410
162,0.162,64,410
163,0.163,65,410
164,0.164,65,410
165,0.165,66,410
166,0.166,66,410
167,0.167,66,410
168,0.168,67,410
169,0.169,67,410
170,0.17,68,410
171,0.171,68,410
172,0.172,68,410
173,0.173,69,410
174,0.174,69,410
175,0.175,70,410
176,0.176,70,410
177,0.177,71,410
178,0.178,71,410
179,0.179,71,410
180,0.18,72,410
181,0.181,72,410
182,0.182,73,410
183,0.183,73,410
184,0.184,73,410
185,0.185,74,410
186,0.186,74,410
187,0.187,75,410
188,0.188,75,410
189,0.189,75,410
190,0.19,76,410
191,0.191,76,410
192,0.192,77,410
193,0.193,77,410
194,0.194,77,410
195,0.195,78,410
196,0.196,78,410
197,0.197,79,410
198,0.198,79,410
199,0.199,80,410
200,0.2,80,410
201,0.201,80,410
202,0.202,81,410
203,0.203,81,410
204,0.204,82,410
205,0.205,82,410
206,0.206,82,410
207,0.207,83,410
208,0.208,83,410
209,0.209,84,410
210,0.21,84,410
211,0.211,84,410
212,0.212,85,410
213,0.213,85,410
214,0.214,86,410
215,0.215,86,410
216,0.216,87,410
217,0.217,87,410
218,0.218,87,410
219,0.219,88,410
220,0.22,88,410
221,0.221,89,410
222,0.222,89,410
223,0.223,89,410
224,0.224,90,410
225,0.225,90,410
226,0.226,91,410
227,0.227,91,410
228,0.228,91,410
229,0.229,92,410
230,0.23,92,410
231,0.231,93,410
232,0.232,93,410
233,0.233,93,410
234,0.234,94,410
235,0.235,94,410
236,0.236,95,410
237,0.237,95,410
238,0.238,96,410
239,0.239,96,410
240,0.24,96,410
241,0.241,97,410
242,0.242,97,410
243,0.243,98,410
244,0.244,98,410
245,0.245,98,410
246,0.246,99,410
247,0.247,99,410
248,0.248,100,410
249,0.249,100,410
250,0.25,100,410
251,0.251,101,410
252,0.252,101,410
253,0.253,102,410
254,0.254,102,410
255,0.255,102,410
256,0.256,103,410
257,0.257,103,410
258,0.258,104,410
259,0.259,104,410
260,0.26,105,410
261,0.261,105,410
262,0.262,105,410
263,0.263,106,410
264,0.264,106,410
265,0.265,107,410
266,0.266,107,410
267,0.267,107,410
268,0.268,108,410
269,0.269,108,410
270,0.27,109,410
271,0.271,109,410
272,0.272,109,410
273,0.273,110,410
274,0.274,110,410
275,0.275,111,410
276,0.276,111,410
277,0.277,112,410
278,0.278,112,410
279,0.279,112,410
280,0.28,113,410
281,0.281,113,410
282,0.282,114,410
283,0.283,114,410
284,0.284,114,410
285,0.285,115,410
286,0.286,115,410
287,0.287,116,410
288,0.288,116,410
289,0.289,116,410
290,0.29,117,410
291,0.291,117,410
292,0.292,118,410
293,0.293,118,410
294,0.294,118,410
295,0.295,119,410
296,0.296,119,410
297,0.297,120,410
298,0.298,120,410
299,0.299,121,410
300,0.3,121,410
301,0.301,121,410
302,0.302,122,410
303,0.303,122,410
304,0.304,123,410
305,0.305,123,410
306,0.306,123,410
307,0.307,124,410
308,0.308,124,410
309,0.309,125,410
310,0.31,125,410
311,0.311,125,410
312,0.312,126,410
313,0.313,126,410
314,0.314,127,410
315,0.315,127,410
316,0.316,128,410
317,0.317,128,410
318,0.318,128,410
319,0.319,129,410
320,0.32,129,410
321,0.321,130,410
322,0.322,130,410
323,0.323,130,410
324,0.324,131,410
325,0.325,131,410
326,0.326,132,410
327,0.327,132,410
328,0.328,132,410
329,0.329,133,410
330,0.33,133,410
331,0.331,134,410
332,0.332,134,410
333,0.333,134,410
334,0.334,135,410
335,0.335,135,410
336,0.336,136,410
337,0.337,136,410
338,0.338,137,410
339,0.339,137,410
340,0.34,137,410
341,0.341,138,410
342,0.342,138,410
343,0.343,139,410
344,0.344,139,410
345,0.345,139,410
346,0.346,140,410
347,0.347,140,410
348,0.348,141,410
349,0.349,141,410
350,0.35,141,410
351,0.351,142,410
352,0.352,142,410
353,0.353,143,410
354,0.354,143,410
355,0.355,143,410
356,0.356,144,410
357,0.357,144,410
358,0.358,145,410
359,0.359,145,410
360,0.36,146,410
361,0.361,146,410
362,0.362,146,410
363,0.363,147,410
364,0.364,147,410
365,0.365,148,410
366,0.366,148,410
367,0.367,148,410
368,0.368,149,410
369,0.369,149,410
370,0.37,150,410
371,0.371,150,410
372,0.372,150,410
373,0.373,151,410
374,0.374,151,410
375,0.375,152,410
376,0.376,152,410
377,0.377,153,410
378,0.378,153,410
379,0.379,153,410
380,0.38,154,410
381,0.381,154,410
382,0.382,155,410
383,0.383,155,410
384,0.384,155,410
385,0.385,156,410
386,0.386,156,410
387,0.387,157,410
388,0.388,157,410
389,0.389,157,410
390,0.39,158,410
391,0.391,158,410
392,0.392,159,410
393,0.393,159,410
394,0.394,159,410
395,0.395,160,410
396,0.396,160,410
397,0.397,161,410
398,0.398,161,410
399,0.399,162,410
400,0.4,162,410
401,0.401,162,410
402,0.402,163,410
403,0.403,163,410
404,0.404,164,410
405,0.405,164,410
406,0.406,164,410
407,0.407,165,410
408,0.408,165,410
409,0.409,166,410
410,0.41,166,410
411,0.411,166,410
412,0.412,167,410
413,0.413,167,410
414,0.414,168,410
415,0.415,168,410
416,0.416,169,410
417,0.417,169,410
418,0.418,169,410
419,0.419,170,410
420,0.42,170,410
421,0.421,171,410
422,0.422,171,410
423,0.423,171,410
424,0.424,172,410
425,0.425,172,410
426,0.426,173,410
427,0.427,173,410
428,0.428,173,410
429,0.429,174,410
430,0.43,174,410
431,0.431,175,410
432,0.432,175,410
433,0.433,175,410
434,0.434,176,410
435,0.435,176,410
436,0.436,177,410
437,0.437,177,410
438,0.438,178,410
439,0.439,178,410
440,0.44,178,410
441,0.441,179,410
442,0.442,179,410
443,0.443,180,410
444,0.444,180,410
445,0.445,180,410
446,0.446,181,410
447,0.447,181,410
448,0.448,182,410
449,0.449,182,410
450,0.45,182,410
451,0.451,183,410
452,0.452,183,410
453,0.453,184,410
454,0.454,184,410
455,0.455,184,410
456,0.456,185,410
457,0.457,185,410
458,0.458,186,410
459,0.459,186,410
460,0.46,187,410
461,0.461,187,410
462,0.462,187,410
463,0.463,188,410
464,0.464,188,410
465,0.465,189,410
466,0.466,189,410
467,0.467,189,410
468,0.468,190,410
469,0.469,190,410
470,0.47,191,410
471,0.471,191,410
472,0.472,191,410
473,0.473,192,410
474,0.474,192,410
475,0.475,193,410
476,0.476,193,410
477,0.477,194,410
478,0.478,194,410
479,0.479,194,410
480,0.48,195,410
481,0.481,195,410
482,0.482,196,410
483,0.483,196,410
484,0.484,196,410
485,0.485,197,410
486,0.486,197,410
487,0.487,198,410
488,0.488,198,410
489,0.489,198,410
490,0.49,199,410
491,0.491,199,410
492,0.492,200,410
493,0.493,200,410
494,0.494,200,410
495,0.495,201,410
496,0.496,201,410
497,0.497,202,410
498,0.498,202,410
499,0.499,203,410
500,0.5,203,410
501,0.501,203,410
502,0.502,204,410
503,0.503,204,410
504,0.504,205,410
505,0.505,205,410
506,0.506,205,410
507,0.507,206,410
508,0.508,206,410
509,0.509,207,410
510,0.51,207,410
511,0.511,207,410
512,0.512,208,410
513,0.513,208,410
514,0.514,209,410
515,0.515,209,410
516,0.516,210,410
517,0.517,210,410
518,0.518,210,410
519,0.519,211,410
520,0.52,211,410
521,0.521,212,410
522,0.522,212,410
523,0.523,212,410
524,0.524,213,410
525,0.525,213,410
526,0.526,214,410
527,0.527,214,410
528,0.528,214,410
529,0.529,215,410
530,0.53,215,410
531,0.531,216,410
532,0.532,216,410
533,0.533,216,410
534,0.534,217,410
535,0.535,217,410
536,0.536,218,410
537,0.537,218,410
538,0.538,219,410
539,0.539,219,410
540,0.54,219,410
541,0.541,220,410
542,0.542,220,410
543,0.543,221,410
544,0.544,221,410
545,0.545,221,410
546,0.546,222,410
547,0.547,222,410
548,0.548,223,410
549,0.549,223,410
550,0.55,223,410
551,0.551,224,410
552,0.552,224,410
553,0.553,225,410
554,0.554,225,410
555,0.555,225,410
556,0.556,226,410
557,0.557,226,410
558,0.558,227,410
559,0.559,227,410
560,0.56,228,410
561,0.561,228,410
562,0.562,228,410
563,0.563,229,410
564,0.564,229,410
565,0.565,230,410
566,0.566,230,410
567,0.567,230,410
568,0.568,231,410
569,0.569,231,410
570,0.57,232,410
571,0.571,232,410
572,0.572,232,410
573,0.573,233,410
574,0.574,233,410
575,0.575,234,410
576,0.576,234,410
577,0.577,235,410
578,0.578,235,410
579,0.579,235,410
580,0.58,236,410
581,0.581,236,410
582,0.582,237,410
583,0.583,237,410
584,0.584,237,410
585,0.585,238,410
586,0.586,238,410
587,0.587,239,410
588,0.588,239,410
589,0.589,239,410
590,0.59,240,410
591,0.591,240,410
592,0.592,241,410
593,0.593,241,410
594,0.594,241,410
595,0.595,242,410
596,0.596,242,410
597,0.597,243,410
598,0.598,243,410
599,0.599,244,410
600,0.6,244,410
601,0.601,244,410
602,0.602,245,410
603,0.603,245,410
604,0.604,246,410
605,0.605,246,410
606,0.606,246,410
607,0.607,247,410
608,0.608,247,410
609,0.609,248,410
610,0.61,248,410
611,0.611,248,410
612,0.612,249,410
613,0.613,249,410
614,0.614,250,410
615,0.615,250,410
616,0.616,251,410
617,0.617,251,410
618,0.618,251,410
619,0.619,252,410
620,0.62,252,410
621,0.621,253,410
622,0.622,253,410
623,0.623,253,410
624,0.624,254,410
625,0.625,254,410
626,0.626,255,410
627,0.627,255,410
628,0.628,255,410
629,0.629,256,410
630,0.63,256,410
631,0.631,257,410
632,0.632,257,410
633,0.633,257,410
634,0.634,258,410
635,0.635,258,410
636,0.636,259,410
637,0.637,259,410
638,0.638,260,410
639,0.639,260,410
640,0.64,260,410
641,0.641,261,410
642,0.642,261,410
643,0.643,262,410
644,0.644,262,410
645,0.645,262,410
646,0.646,263,410
647,0.647,263,410
648,0.648,264,410
649,0.649,264,410
650,0.65,264,410
651,0.651,265,410
652,0.652,265,410
