t,pos_cmd,pos_fbk,vel_fbk,samples_consumed
0,18,15,141,105
0,18,15,141,105
0,18,15,141,105
0,18,15,141,105
0,18,15,141,105
0,18,15,141,105
0,18,15,141,105
0,18,15,141,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
1,18,15,156,106
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
2,18,16,164,107
3,18,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,108
3,19,16,141,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,109
4,19,16,156,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
5,19,16,164,110
